key,registrationMoment,passengerEmail,description,type,accepted,draftMode,key:assistanceAgent,key:legs
#base entity
claim1,2012/07/02 0:00,acme@lorem-ipsum.org,Lorem ipsum dolor sit ame,FLIGHT_ISSUES,ACCEPTED,TRUE,agent1,leg-00
#registrationMoment standard variations
claim2,2000/01/01 0:00,acme@lorem-ipsum.org,Lorem ipsum dolor sit ame,FLIGHT_ISSUES,ACCEPTED,TRUE,agent1,leg-01
claim3,2000/01/01 0:01,acme@lorem-ipsum.org,Lorem ipsum dolor sit ame,FLIGHT_ISSUES,ACCEPTED,TRUE,agent1,leg-02
claim4,2024/12/31 23:59,acme@lorem-ipsum.org,Lorem ipsum dolor sit ame,FLIGHT_ISSUES,ACCEPTED,TRUE,agent1,leg-03
claim5,2025/01/01 0:00,acme@lorem-ipsum.org,Lorem ipsum dolor sit ame,FLIGHT_ISSUES,ACCEPTED,TRUE,agent1,leg-04
#passengerEmail standard variations
claim6,2012/07/02 0:00,acmepassword@lorem-ipsum.org,Lorem ipsum dolor sit ame,FLIGHT_ISSUES,ACCEPTED,TRUE,agent1,leg-05
claim7,2012/07/02 0:00,a@b.e,Lorem ipsum dolor sit ame,FLIGHT_ISSUES,ACCEPTED,TRUE,agent1,leg-06
claim8,2012/07/02 0:00,a@b.es,Lorem ipsum dolor sit ame,FLIGHT_ISSUES,ACCEPTED,TRUE,agent1,leg-07
claim9,2012/07/02 0:00,a@b.esx,Lorem ipsum dolor sit ame,FLIGHT_ISSUES,ACCEPTED,TRUE,agent1,leg-08
claim10,2012/07/02 0:00,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.doloris.edu,Lorem ipsum dolor sit ame,FLIGHT_ISSUES,ACCEPTED,TRUE,agent1,leg-09
claim11,2012/07/02 0:00,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.es.org,Lorem ipsum dolor sit ame,FLIGHT_ISSUES,ACCEPTED,TRUE,agent1,leg-10
#description standard variations
claim12,2012/07/02 0:00,acme@lorem-ipsum.org,L,FLIGHT_ISSUES,ACCEPTED,TRUE,agent1,leg-11
claim13,2012/07/02 0:00,acme@lorem-ipsum.org,Lo,FLIGHT_ISSUES,ACCEPTED,TRUE,agent1,leg-12
claim14,2012/07/02 0:00,acme@lorem-ipsum.org,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",FLIGHT_ISSUES,ACCEPTED,TRUE,agent1,leg-13
claim15,2012/07/02 0:00,acme@lorem-ipsum.org,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",FLIGHT_ISSUES,ACCEPTED,TRUE,agent1,leg-14
claim16,2012/07/02 0:00,acme@lorem-ipsum.org,โลเร็ม อิปซัม,FLIGHT_ISSUES,ACCEPTED,TRUE,agent1,leg-15
claim17,2012/07/02 0:00,acme@lorem-ipsum.org,لوريم إيبسوم,FLIGHT_ISSUES,ACCEPTED,TRUE,agent1,leg-16
claim18,2012/07/02 0:00,acme@lorem-ipsum.org,洛伦·伊普森,FLIGHT_ISSUES,ACCEPTED,TRUE,agent1,leg-17
claim19,2012/07/02 0:00,acme@lorem-ipsum.org,<marquee>Hacked</marquee>,FLIGHT_ISSUES,ACCEPTED,TRUE,agent1,leg-18
claim20,2012/07/02 0:00,acme@lorem-ipsum.org,<script>alert(‘Hacked!’);</script>,FLIGHT_ISSUES,ACCEPTED,TRUE,agent1,leg-19
claim21,2012/07/02 0:00,acme@lorem-ipsum.org,' or 'A' = 'A,FLIGHT_ISSUES,ACCEPTED,TRUE,agent1,leg-20
#type standard variations
claim22,2012/07/02 0:00,acme@lorem-ipsum.org,Lorem ipsum dolor sit ame,LUGGAGE_ISSUES,ACCEPTED,TRUE,agent1,leg-21
claim23,2012/07/02 0:00,acme@lorem-ipsum.org,Lorem ipsum dolor sit ame,SECURITY_INCIDENT,ACCEPTED,TRUE,agent1,leg-22
claim24,2012/07/02 0:00,acme@lorem-ipsum.org,Lorem ipsum dolor sit ame,OTHER_ISSUES,ACCEPTED,TRUE,agent1,leg-23
#accepted standard variations
claim25,2012/07/02 0:00,acme@lorem-ipsum.org,Lorem ipsum dolor sit ame,FLIGHT_ISSUES,REJECTED,TRUE,agent1,leg-24
claim26,2012/07/02 0:00,acme@lorem-ipsum.org,Lorem ipsum dolor sit ame,FLIGHT_ISSUES,PENDING,TRUE,agent1,leg-25
#draftMode standard variations
claim27,2012/07/02 0:00,acme@lorem-ipsum.org,Lorem ipsum dolor sit ame,FLIGHT_ISSUES,PENDING,FALSE,agent1,leg-26
#key:assistanceAgent standard variations
claim28,2012/07/02 0:00,acme@lorem-ipsum.org,Lorem ipsum dolor sit ame,FLIGHT_ISSUES,ACCEPTED,TRUE,agent2,leg-27
claim29,2012/07/02 0:00,acme@lorem-ipsum.org,Lorem ipsum dolor sit ame,FLIGHT_ISSUES,ACCEPTED,TRUE,agent3,leg-28
#base entity is necessary for another CSV
claim30,2012/07/02 0:00,acme@lorem-ipsum.org,Lorem ipsum dolor sit ame,FLIGHT_ISSUES,ACCEPTED,TRUE,agent1,leg-29
claim31,2012/07/02 0:00,acme@lorem-ipsum.org,Lorem ipsum dolor sit ame,FLIGHT_ISSUES,ACCEPTED,TRUE,agent1,leg-00
claim32,2012/07/02 0:00,acme@lorem-ipsum.org,Lorem ipsum dolor sit ame,FLIGHT_ISSUES,ACCEPTED,TRUE,agent1,leg-01
claim33,2012/07/02 0:00,acme@lorem-ipsum.org,Lorem ipsum dolor sit ame,FLIGHT_ISSUES,ACCEPTED,TRUE,agent1,leg-02
claim34,2012/07/02 0:00,acme@lorem-ipsum.org,Lorem ipsum dolor sit ame,FLIGHT_ISSUES,ACCEPTED,TRUE,agent1,leg-03
claim35,2012/07/02 0:00,acme@lorem-ipsum.org,Lorem ipsum dolor sit ame,FLIGHT_ISSUES,ACCEPTED,TRUE,agent1,leg-04
claim36,2012/07/02 0:00,acme@lorem-ipsum.org,Lorem ipsum dolor sit ame,FLIGHT_ISSUES,ACCEPTED,TRUE,agent1,leg-05
claim37,2012/07/02 0:00,acme@lorem-ipsum.org,Lorem ipsum dolor sit ame,FLIGHT_ISSUES,ACCEPTED,TRUE,agent1,leg-06
claim38,2012/07/02 0:00,acme@lorem-ipsum.org,Lorem ipsum dolor sit ame,FLIGHT_ISSUES,ACCEPTED,TRUE,agent1,leg-07
claim39,2012/07/02 0:00,acme@lorem-ipsum.org,Lorem ipsum dolor sit ame,FLIGHT_ISSUES,ACCEPTED,TRUE,agent1,leg-08
