key,enabled,identity,password,username
user-account-consumer-01,true,"UserIdentity{name: 'Peter', surname: 'Consumer', email: 'peter@acme.com'}",consumer1,consumer1
user-account-consumer-02,true,"UserIdentity{name: 'Mary', surname: '貸んい建濯よ芝弾テソ Λορεμ ιπσθμ', email: 'mary@acme.com'}",consumer2,consumer2
user-account-consumer-03,true,"UserIdentity{name: 'Manolo', surname: '之乎路可良 ᏥᏲᏎᎭ', email: 'manolo@acme.com'}",consumer3,consumer3
user-account-provider-01,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",provider1,provider1
user-account-provider-02,true,"UserIdentity{name: 'Martina', surname: 'коза თხა', email: 'martina@acme.com'}",provider2,provider2
user-account-provider-03,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",provider3,provider3
user-account-customer-01,true,"UserIdentity{name: 'Alejandro', surname: 'Bonito', email: 'alejandrobonito@acme.com'}",customer1,customer1
user-account-customer-02,true,"UserIdentity{name: 'Estrella', surname: 'Ros', email: 'estrellaros@acme.com'}",customer2,customer2
user-account-customer-03,true,"UserIdentity{name: 'Pablo', surname: 'Murillo', email: 'pablomurillo@acme.com'}",customer3,customer3
user-account-agent-01,true,"UserIdentity{name: 'Agent 1', surname: 'Acme-ANS-C1.036', email: 'agent1@acme.com'}",agent1,agent1
user-account-agent-02,true,"UserIdentity{name: 'Agent 2', surname: 'Acme-ANS-C1.036', email: 'agent2@acme.com'}",agent2,agent2
user-account-agent-03,true,"UserIdentity{name: 'Agent 3', surname: 'Acme-ANS-C1.036', email: 'agent3@acme.com'}",agent3,agent3
user-account-technician-01,true,"UserIdentity{name: 'David', surname: 'Escudero', email: 'davidescudero@acme.com'}",technician-01,technician1
user-account-technician-02,true,"UserIdentity{name: 'Esperanza', surname: 'Carvajal', email: 'esperanzacarvajal@acme.com'}",technician-02,technician2
user-account-technician-03,true,"UserIdentity{name: 'Catalina', surname: 'Maesso', email: 'catalinamaesso@acme.com'}",technician-03,technician3
user-account-airline-manager-01,true,"UserIdentity{name: 'Airline Manager 1', surname: 'Acme-ANS-C1.036', email: 'airlinemanager1@acme.com'}",airlinemanager1,airlinemanager1
user-account-airline-manager-02,true,"UserIdentity{name: 'Airline Manager 2', surname: 'Acme-ANS-C1.036', email: 'airlinemanager2@acme.com'}",airlinemanager2,airlinemanager2
user-account-airline-manager-03,true,"UserIdentity{name: 'Airline Manager 3', surname: 'Acme-ANS-C1.036', email: 'airlinemanager3@acme.com'}",airlinemanager3,airlinemanager3
user-account-administrator-001,true,"UserIdentity{name: 'Admin One', surname: 'Acme-ANS-C1.036', email: 'admin1@acme.com'}",administrator1,administrator1
user-account-administrator-002,true,"UserIdentity{name: 'Admin Two', surname: 'Acme-ANS-C1.036', email: 'admin2@acme.com'}",administrator2,administrator2
user-account-member-01,true,"UserIdentity{name: 'John', surname: 'Doe', email: 'john.doe@acme.com'}",member1,member1
user-account-member-02,true,"UserIdentity{name: 'Jane', surname: 'Smith', email: 'jane.smith@acme.com'}",member2,member2
user-account-member-03,true,"UserIdentity{name: 'Tom', surname: 'Johnson', email: 'tom.johnson@acme.com'}",member3,member3
user-account-member-04,true,"UserIdentity{name: 'Alice', surname: 'Williams', email: 'alice.williams@acme.com'}",member4,member4
user-account-member-05,true,"UserIdentity{name: 'Robert', surname: 'Brown', email: 'robert.brown@acme.com'}",member5,member5
